area,func,label,w,mean_t_logged,mean_t,stranded_pop,total_pop
Austria,LINEAR,row,0.00015,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.0003,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.0007,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.0015,0.2255,0.2255,0.0,8931592.0
Austria,LINEAR,row,0.003,0.3219,0.3219,0.0,8931592.0
Austria,LINEAR,row,0.007,0.5938,0.5938,0.0,8931592.0
Austria,LINEAR,row,0.01,0.7637,0.7637,0.0,8931592.0
Austria,LINEAR,row,0.015,1.0046,1.0046,0.0,8931592.0
Austria,LINEAR,row,0.02,1.2090,1.2090,0.0,8931592.0
Austria,LINEAR,row,0.03,1.5386,1.5386,0.0,8931592.0
Austria,LINEAR,row,0.05,2.0302,2.0302,0.0,8931592.0
Austria,LINEAR,row,0.07,2.4046,2.4046,0.0,8931592.0
Austria,LINEAR,row,0.15,3.4968,3.4968,0.0,8931592.0
Austria,LINEAR,row,0.3,4.7325,4.7325,0.0,8931592.0
Austria,LINEAR,row,0.30973,4.8180,4.8182,14.0,8931592.0
Austria,LINEAR,row,0.31978,4.8842,4.8843,0.0,8931592.0
Austria,LINEAR,row,0.34087,4.9919,4.9919,1.0,8931592.0
Austria,LINEAR,row,0.3873,5.2577,5.2577,1.0,8931592.0
Austria,LINEAR,row,0.7,6.4191,6.4328,1016.0,8931592.0
Austria,LINEAR,row,0.0001,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.0002,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.0005,0.2148,0.2148,0.0,8931592.0
Austria,LINEAR,row,0.001,0.2155,0.2155,0.0,8931592.0
Austria,LINEAR,row,0.002,0.2512,0.2512,0.0,8931592.0
Austria,LINEAR,row,0.005,0.4652,0.4652,0.0,8931592.0
Austria,LINEAR,row,0.1,2.8760,2.8760,0.0,8931592.0
Austria,LINEAR,row,0.14142,3.3895,3.3895,0.0,8931592.0
Austria,LINEAR,row,0.16818,3.6831,3.6831,0.0,8931592.0
Austria,LINEAR,row,0.1834,3.8268,3.8268,0.0,8931592.0
Austria,LINEAR,row,0.2,3.9821,3.9821,0.0,8931592.0
Austria,LINEAR,row,0.25149,4.3858,4.3859,0.0,8931592.0
Austria,LINEAR,row,0.28201,4.6150,4.6150,0.0,8931592.0
Austria,LINEAR,row,0.29863,4.7189,4.7189,0.0,8931592.0
Austria,LINEAR,row,0.3073,4.7969,4.7971,14.0,8931592.0
Austria,LINEAR,row,0.31173,4.8241,4.8241,0.0,8931592.0
Austria,LINEAR,row,0.31623,4.8560,4.8560,0.0,8931592.0
Austria,LINEAR,row,0.5,5.8383,5.8387,24.0,8931592.0
Austria,LINEAR,S1,,,3.8268,0.0,8931592.0
Austria,LINEAR,S2,,,4.8241,0.0,8931592.0
Austria,LOGISTIC,row,0.0001,0.8356,0.8356,0.0,8931592.0
Austria,LOGISTIC,row,0.0002,1.2857,1.2857,0.0,8931592.0
Austria,LOGISTIC,row,0.0005,2.0744,2.0744,0.0,8931592.0
Austria,LOGISTIC,row,0.001,2.8590,2.8590,0.0,8931592.0
Austria,LOGISTIC,row,0.002,3.8312,3.8312,0.0,8931592.0
Austria,LOGISTIC,row,0.0039764,4.9973,4.9975,17.0,8931592.0
Austria,LOGISTIC,row,0.0044589,5.1581,5.1584,21.0,8931592.0
Austria,LOGISTIC,row,0.0047217,5.2646,5.2660,103.0,8931592.0
Austria,LOGISTIC,row,0.0048589,5.3234,5.3240,45.0,8931592.0
Austria,LOGISTIC,row,0.5,3.2616,74.2168,5281190.0,8931592.0
Austria,LOGISTIC,row,0.0020288,3.8464,3.8467,17.0,8931592.0
Austria,LOGISTIC,row,0.0020434,3.8656,3.8656,0.0,8931592.0
Austria,LOGISTIC,row,0.0020581,3.8712,3.8712,0.0,8931592.0
Austria,LOGISTIC,row,0.0021179,3.9290,3.9290,0.0,8931592.0
Austria,LOGISTIC,row,0.0022427,4.0275,4.0275,0.0,8931592.0
Austria,LOGISTIC,row,0.0025149,4.1902,4.1902,0.0,8931592.0
Austria,LOGISTIC,row,0.0026564,4.3325,4.3325,0.0,8931592.0
Austria,LOGISTIC,row,0.0031623,4.6124,4.6123,0.0,8931592.0
Austria,LOGISTIC,row,0.0034534,4.7470,4.7472,17.0,8931592.0
Austria,LOGISTIC,row,0.0044894,5.1682,5.1685,21.0,8931592.0
Austria,LOGISTIC,row,0.0047937,5.2957,5.2958,4.0,8931592.0
Austria,LOGISTIC,row,0.0049535,5.3741,5.3742,7.0,8931592.0
Austria,LOGISTIC,row,0.005,5.3853,5.3854,0.0,8931592.0
Austria,LOGISTIC,row,0.0051187,5.4174,5.4175,7.0,8931592.0
Austria,LOGISTIC,row,0.0058362,5.6835,5.6843,61.0,8931592.0
Austria,LOGISTIC,S1,,,3.8656,0.0,8931592.0
Austria,LOGISTIC,S2,,,5.3742,7.0,8931592.0
Belgium,LINEAR,row,0.0001,0.0544,0.0544,0.0,11531275.0
Belgium,LINEAR,row,0.0002,0.0544,0.0544,0.0,11531275.0
Belgium,LINEAR,row,0.0005,0.0544,0.0544,0.0,11531275.0
Belgium,LINEAR,row,0.001,0.0549,0.0549,0.0,11531275.0
