study_area,n_pharmacies,n_pharmacy_cells,n_residents,residents_per_pharmacy,n_cells_multi,avg_pharm_in_multi,max_pharm_in_cell,cell_n_empty,cell_min_nz,cell_min,cell_p10,cell_p25,cell_p50,cell_p75,cell_p90,cell_max,cell_avg,pharm_n_empty,pharm_min_nz,pharm_min,pharm_p10,pharm_p25,pharm_p50,pharm_p75,pharm_p90,pharm_max,pharm_avg
Netherlands,1992,1617,17459056,8764.6,295,2.3,7,2,5,0,4394.0,6802,10167,13827,17873.6,34905,10797.2,4,5,0,2661,5059.8,7952,11913.2,15566.9,33497,8764.6
France,20698,13863,65306616,3155.2,3376,3.0,25,448,3,0,1578.2,2638,3991,5863,8411.8,51246,4710.9,660,3,0,1182,1924.2,2869,4091,5495,17502,3155.2
FR1,3488,1452,12313596,3530.3,703,3.9,24,3,3,0,2804.3,4316.8,6788.5,10193.5,15711.9,51246,8480.4,3,3,0,1583.6,2154.6,3131.2,4365.1,6016.7,17502,3530.3
FRB,763,614,2575076,3374.9,94,2.6,11,1,75,0,1910.9,2697,3699,5323.2,6899.0,12007,4193.9,1,75,0,1439,2126.3,3011,4274,5672.0,12007,3374.9
FRC,921,723,2799057,3039.1,122,2.6,9,0,44,44,1840.2,2589.5,3437,4707,6508.4,15552,3871.4,0,44,44,1373.5,1965.7,2874,3855,4868,12847,3039.1
FRD,917,683,3297416,3595.9,145,2.6,8,5,68,0,2094.8,3014.5,4549,6065.5,7865.4,15013,4823.8,12,68,0,1524.6,2271,3327,4730,5990.8,13685,3592.9
FRE,1943,1337,5987226,3081.4,365,2.7,11,4,5,0,2005.6,2862,3995,5636,7565.6,17786,4475.8,7,5,0,1358.5,1932.9,2821,3860,5055.4,15413,3079.9
FRF,1588,1167,5561269,3502.1,235,2.8,11,0,97,97,2067.8,3035,4213,5962.5,8069.4,16534,4764.1,0,97,97,1331.5,2157.2,3247.5,4415,5900.3,15870,3501.1
FRG,1069,851,3836287,3588.7,154,2.4,9,1,35,0,1963.0,2816,4106,5646.5,7539.0,22395,4506.6,1,35,0,1575,2350,3309,4600,5859.0,12237,3587.6
FRH,1000,798,3343874,3343.9,145,2.4,7,6,166,0,1728.4,2642.5,3849,5140,7198.6,18734,4182.3,7,91,0,1421.7,2223.7,3098,4255.1,5460.8,12264,3337.5
FRI,2052,1590,6052430,2949.5,271,2.7,17,7,46,0,1609.1,2362.2,3440.5,4803.2,6505.9,18820,3804.1,7,46,0,1174.4,1832.3,2680,3768,4972.5,11655,2947.6
FRJ,1965,1424,6011229,3059.1,289,2.9,19,0,45,45,1528.3,2322.5,3645.5,5452,7734.0,17607,4220.6,0,45,45,1206.8,1890,2723.7,3847,5369.3,12011,3058.6
FRK,2420,1685,8113631,3352.7,391,2.9,16,0,6,6,1731.6,2768,4149,6096,8479.2,25354,4814.8,0,6,6,1407.8,2094.2,3040,4304.1,5700.3,12834,3352.5
FRL,1850,1045,5046942,2728.1,341,3.4,25,21,1,0,1325.8,2520,4132,6229,8837.0,25437,4820.1,46,1,0,931.9,1568,2391,3605,4955.8,14737,2722.7
FRM,131,92,332848,2540.8,18,3.2,10,5,188,0,718.1,1481.5,3141,4270.8,6491.1,14763,3605.6,7,188,0,855.0,1400.8,2304,3228,4762.0,9333,2532.2
Italy,20621,14264,58720037,2847.6,3282,2.9,22,71,2,0,916,1695,3244.5,5473.2,8491.7,33618,4116.3,92,1,0,888,1579.7,2542,3689,5100,19504,2847.4
ITC,5624,3883,15833156,2815.3,873,3.0,22,8,6,0,962.2,1686,3166,5321,8349.6,27322,4074.4,8,6,0,884,1529.2,2560.3,3710.2,5008.1,16143,2813.1
ITF,4955,3213,13326693,2689.5,852,3.0,17,26,34,0,701.4,1329,3034,5690,9116.8,31263,4144.7,38,34,0,783.7,1441,2368,3438.2,4948.2,19504,2687.6
ITG,2332,1450,6305437,2703.9,445,3.0,15,19,2,0,663.6,1480.8,3352.5,6328.5,9453.1,22291,4329.7,22,1,0,774.4,1523,2421.5,3446,4822.4,13898,2692.1
ITH,3805,3003,11527333,3029.5,497,2.6,15,10,11,0,1218.2,2019.5,3273,4950,7186.4,20143,3835.6,20,5.5,0,1096.2,1720,2736,3954,5227.0,18442,3027.1
ITI,3919,2726,11700165,2985.5,618,2.9,14,17,14,0,977.5,1845,3471,5689.5,8758.5,33618,4288.9,27,14,0,942.8,1672.5,2632,3843.5,5258.8,17207,2983.3
Sweden,1448,1088,10249068,7078.1,239,2.5,9,4,2,0,3079.7,5220,8541,12284.2,17267.5,37107,9419.3,5,0.7,0,2097.6,3839.7,6207.5,9617.2,12659.0,37107,7077.5
SE1,558,389,4078810,7309.7,101,2.7,9,2,2,0,3113.6,6182,9375,13628,19521.2,37107,10417.6,3,0.7,0,1882.2,3734,6197,10008.5,13365.2,37107,7262.4
SE2,607,454,4416221,7275.5,107,2.4,7,2,2,0,3289.4,5548.8,8902.5,12496.8,16811.5,35654,9668.2,3,2,0,2146.3,3885,6511,9936.8,12947.6,33444,7231.2
SE3,284,246,1738354,6121.0,31,2.2,3,0,168,168,2571.5,3926,5938.5,9425.2,12971.0,24673,7042.8,0,82.7,82.7,2545.1,3762.8,5419.5,7671.8,10841.7,16576,6100.5
