"area","ex_exit","ex_secs","ex_od","ex_i","nw_exit","nw_secs","nw_od","nw_i","total_secs"
"Netherlands","0","10","2595474","296354","0","14","37726418","296354","24"
"Luxembourg","0","5","146442","20562","0","5","2111042","20562","9"
"Estonia","0","6","1356802","190706","0","7","9834962","190706","13"
"Latvia","0","6","2455538","282218","0","8","16269770","282218","14"
"Slovenia","0","7","1132594","145170","0","9","25335098","145170","16"
"Lithuania","0","6","2825826","326794","0","9","32211370","326794","15"
"Ireland","0","8","4671146","487946","0","16","76757178","487946","23"
"Norway","1","48","3249082","426538","1","50","52876330","426538","98"
"Denmark","0","10","3148298","339922","0","18","72001882","339922","28"
"Austria","0","14","3599890","412434","0","23","90635314","412434","37"
"Portugal","0","16","3436426","413514","0","23","47003218","413514","39"
"Czechia","0","13","3748562","451850","0","17","56917298","451850","30"
"Belgium","0","9","2173922","244554","0","10","16204442","244554","18"
"Poland","0","20","17067810","1906722","0","49","274326586","1906722","68"
"FR1","0","61","731898","95954","0","80","6099690","95954","141"
"FRB","0","91","2379122","259458","0","70","28339738","259458","162"
"FRC","0","68","2356778","266338","0","71","30260818","266338","139"
"FRD","0","68","2287634","237698","0","72","38285474","237698","140"
"FRE","0","63","1796138","209730","0","73","21467562","209730","136"
"FRF","0","63","2126610","257370","0","68","27196290","257370","131"
"FRG","0","94","2581834","261954","0","80","30909562","261954","174"
"FRH","0","64","2286090","231114","0","67","28569090","231114","131"
"FRI","0","68","5698074","588986","0","73","70801610","588986","141"
"FRJ","0","63","4388522","461530","0","68","46532562","461530","132"
"FRK","0","63","4278322","462162","0","69","51099074","462162","132"
"FRL","0","59","1327466","172114","0","60","11437362","172114","119"
"FRM","0","56","248570","36562","0","57","2705514","36562","113"
"ITC","0","60","3070858","352586","0","63","24782554","352586","123"
"ITF","0","63","3266362","383954","0","69","58599282","383954","132"
"ITG","0","59","1550610","189666","0","60","14077522","189666","119"
"ITH","0","61","3461818","385522","0","66","43945850","385522","127"
"ITI","0","61","3347658","381066","0","65","44145490","381066","126"
"SE1","0","60","2014074","248314","0","63","26472634","248314","122"
"SE2","1","63","3812602","449858","1","93","58113962","449858","155"
"SE3","1","69","2438666","316290","1","63","33520458","316290","133"
"PL2","0","61","1830074","208370","0","65","25584410","208370","126"
"PL4","0","60","2885802","339474","0","65","41449394","339474","124"
"PL5","0","59","1295274","175794","0","61","17828714","175794","120"
"PL6","0","66","3231858","364722","0","64","50705218","364722","130"
"PL7","0","60","1955786","216162","0","62","36631114","216162","121"
"PL8","0","59","3318570","376874","0","80","53059858","376874","138"
"PL9","0","73","2365834","260642","0","81","44178938","260642","154"
