"area","side","od_bytes","i_bytes","j_bytes"
"Netherlands","ExistingPharmacies","2595474","296354","14154"
"Netherlands","NewPharmacies","37726418","296354","88306"
"Luxembourg","ExistingPharmacies","146442","20562","1818"
"Luxembourg","NewPharmacies","2111042","20562","7434"
"Estonia","ExistingPharmacies","1356914","190706","3826"
"Estonia","NewPharmacies","9835514","190706","15178"
"Latvia","ExistingPharmacies","2455538","282218","5682"
"Latvia","NewPharmacies","16269770","282218","21762"
"Slovenia","ExistingPharmacies","1132594","145170","4098"
"Slovenia","NewPharmacies","25335098","145170","40434"
"Lithuania","ExistingPharmacies","2825826","326794","6290"
"Lithuania","NewPharmacies","32211370","326794","36834"
"Ireland","ExistingPharmacies","4671146","487946","8882"
"Ireland","NewPharmacies","76757178","487946","75338"
"Norway","ExistingPharmacies","3249082","426538","8858"
"Norway","NewPharmacies","52876330","426538","73274"
"Denmark","ExistingPharmacies","3148298","339922","5738"
"Denmark","NewPharmacies","72001882","339922","57658"
"Austria","ExistingPharmacies","3599890","412434","10946"
"Austria","NewPharmacies","90635314","412434","120234"
"Portugal","ExistingPharmacies","3436426","413514","17306"
"Portugal","NewPharmacies","42444730","413514","118474"
"Czechia","ExistingPharmacies","3748562","451850","14538"
"Czechia","NewPharmacies","56917298","451850","133826"
"Belgium","ExistingPharmacies","2173922","244554","22330"
"Belgium","NewPharmacies","16204442","244554","94530"
"Poland","ExistingPharmacies","17067810","1906722","53986"
"Poland","NewPharmacies","274326586","1906722","554066"
"FR1","ExistingPharmacies","731898","95954","10570"
"FR1","NewPharmacies","6099690","95954","31258"
"FRB","ExistingPharmacies","2379122","259458","6818"
"FRB","NewPharmacies","28339738","259458","44762"
"FRC","ExistingPharmacies","2357018","266386","7818"
"FRC","NewPharmacies","30262922","266386","56578"
"FRD","ExistingPharmacies","2288770","237882","7202"
"FRD","NewPharmacies","38325234","237882","59778"
"FRE","ExistingPharmacies","1796674","209794","11906"
"FRE","NewPharmacies","21467874","209794","68698"
"FRF","ExistingPharmacies","2127058","257418","11322"
"FRF","NewPharmacies","27203522","257418","75970"
"FRG","ExistingPharmacies","2583234","262042","8642"
"FRG","NewPharmacies","30908146","262042","55530"
"FRH","ExistingPharmacies","2298354","231546","8130"
"FRH","NewPharmacies","28704058","231546","56458"
"FRI","ExistingPharmacies","5696810","589434","15210"
"FRI","NewPharmacies","70791146","589434","109498"
"FRJ","ExistingPharmacies","4388930","461594","13226"
"FRJ","NewPharmacies","46540402","461594","78298"
"FRK","ExistingPharmacies","4278402","461978","14818"
"FRK","NewPharmacies","51100114","461978","102122"
"FRL","ExistingPharmacies","1329474","172258","9498"
"FRL","NewPharmacies","11448746","172258","39258"
"FRM","ExistingPharmacies","249450","36658","1954"
"FRM","NewPharmacies","2706794","36658","8090"
"ITC","ExistingPharmacies","3072002","352730","22914"
"ITC","NewPharmacies","24776874","352730","104354"
"ITF","ExistingPharmacies","3268314","384066","12882"
"ITF","NewPharmacies","58553930","384066","97226"
"ITG","ExistingPharmacies","1550610","189666","9738"
"ITG","NewPharmacies","14077522","189666","42458"
"ITH","ExistingPharmacies","3463370","385786","18370"
"ITH","NewPharmacies","43962378","385786","117770"
"ITI","ExistingPharmacies","3347898","381418","14946"
"ITI","NewPharmacies","44145170","381418","99426"
"SE1","ExistingPharmacies","2064706","249306","4690"
"SE1","NewPharmacies","27256754","249306","29122"
"SE2","ExistingPharmacies","3812602","451082","5826"
"SE2","NewPharmacies","58113962","451082","47946"
"SE3","ExistingPharmacies","2438666","317074","3874"
"SE3","NewPharmacies","33520458","317074","32722"
"PL2","ExistingPharmacies","1830322","208418","12298"
"PL2","NewPharmacies","25594162","208418","84186"
"PL4","ExistingPharmacies","2885890","339378","11530"
"PL4","NewPharmacies","41494978","339378","96290"
"PL5","ExistingPharmacies","1296034","175882","7034"
"PL5","NewPharmacies","17839138","175882","54362"
"PL6","ExistingPharmacies","3232034","364778","10018"
"PL6","NewPharmacies","50704730","364778","85226"
"PL7","ExistingPharmacies","1955786","216162","7114"
"PL7","NewPharmacies","36631114","216162","70042"
"PL8","ExistingPharmacies","2436490","377010","10882"
"PL8","NewPharmacies","41478066","377010","105354"
"PL9","ExistingPharmacies","2365834","260642","8746"
"PL9","NewPharmacies","44178938","260642","75826"
